a,a_1.png,-34,,
b,b_1.png,-34,,
c,c_1.png,-34,,
d,d_1.png,-34,,
e,e_1.png,-34,,
f,f_1.png,-19,,
g,g_1.png,0,,
h,h_1.png,-34,,
i,i_1.png,-34,,
k,k_1.png,-34,,
l,l_1.png,-34,,
m,m_1.png,-34,,
n,n_1.png,-34,,
o,o_1.png,-34,,
p,p_1.png,-14,,
q,q_1.png,-14,,
r,r_1.png,-34,,
s,s_1.png,-34,,
t,t_1.png,-34,,
v,v_1.png,-34,,
x,x_1.png,-34,,
y,y_1.png,-34,y_2.png,-18
z,z_1.png,-34,,
j,j_1.png,-3,,
u,u_1.png,-34,,
w,w_1.png,-34,,
,,,,
A,A_c_1.png,-34,,
B,B_c_1.png,-34,,
C,C_c_1.png,-34,,
D,D_c_1.png,-34,,
E,E_c_1.png,-34,,
F,F_c_1.png,-13,,
G,G_c_1.png,-23,,
H,H_c_1.png,-31,,
I,I_c_1.png,-34,,
J,J_c_1.png,-6,,
K,K_c_1.png,-34,,
L,L_c_1.png,-34,,
M,M_c_1.png,-34,,
N,N_c_1.png,-34,,
O,O_c_1.png,-34,,
P,P_c_1.png,-20,,
Q,Q_c_1.png,-22,,
R,R_c_1.png,-22,,
S,S_c_1.png,-34,,
T,T_c_1.png,-31,,
U,U_c_1.png,-34,,
V,V_c_1.png,-34,,
W,W_c_1.png,-34,,
X,X_c_1.png,-34,,
Y,Y_c_1.png,0,,
Z,Z_c_1.png,-30,,
