1,40,904,138	Quamvis-digressu-veteris		0-232,665-1289,949-1857
0,41,1109,128	confususamici-laudo-tamen-,		0-559,862-1675,1145-2256
1,48,1167,147	vacuisquod-sedem-figere-Cumis		0-385,694-1351,993-1938,1210-2387
1,39,1029,124	destinetatque-unum-civem		0-578,862-1688,1067-2100
0,38,1115,113	donareSibyllae-.-ianua-Baiarum		0-544,845-1651,1155-2278
1,39,1102,147	estet-gratum-litus-amoeni		0-221,590-1143,839-1632,1154-2260
1,40,981,148	secessus-.-ego-vel-Prochytam		0-450,614-1183,1033-2016
1,39,1226,130	praeponoSuburae-;-nam-quid-tam		0-601,846-1646,1065-2089,1265-2495
1,38,1187,113	miserum-,-tam-solum-vidimus-,-ut		0-494,799-1554,1102-2170,1230-2428
0,39,1094,114	nondeterius-credas-horrere		0-472,819-1595,1148-2246
0,39,991,133	incendia-,-lapsus-tectorum		0-586,1040-2033
0,39,1031,133	adsiduosac-mille-pericula		0-439,717-1396,1075-2108
1,39,833,144	saevaeurbis-et-Augusto		0-410,566-1102,883-1719
1,39,1079,124	recitantesmense-poetas-?-Sed		0-657,994-1950,1117-2203
1,37,920,104	dumtota-domus-raeda		0-359,694-1347,962-1886
0,39,1148,130	componituruna-,-substitit-ad		0-581,1050-2063,1199-2349
0,39,991,124	veteresarcus-madidamque		0-461,1027-2020
1,39,979,133	Capenam-.-hic-,-ubi-nocturnae		0-395,591-1140,1027-2008
1,39,1096,110	Numaconstituebat-amicae-,-in		0-674,1022-2006,1137-2236
1,39,1123,147	vallemEgeriae-descendimus-et		0-465,1037-2037,1173-2299
1,39,1303,133	speluncasdissimiles-veris-.-quanto		0-791,1034-2024,1351-2660
1,40,1214,112	praesentiusesset-numen-aquis-,		0-676,1008-1970,1256-2473
0,38,1268,147	viridisi-margine-cluderet-undas		0-262,652-1266,1040-2031,1311-2587
2,38,1099,148	herbanec-ingenuum-violarent		0-323,775-1511,1148-2250
0,53,908,128	marmoratofum-.-Hic-tunc		0-606,733-1436,946-1857
0,40,1217,130	Umbricius'quando-artibus'-inquit		0-608,970-1906,1267-2488
0,39,1133,114	'honestisnullus-in-urbe-locus-,		0-571,735-1422,945-1845,1175-2317
0,38,1187,113	nullaemolumenta-laborum-,-res		0-677,1068-2099,1227-2417
0,39,1255,134	hodieminor-est-here-quam-fuit		0-428,646-1254,850-1650,1083-2136,1293-2554
1,38,1364,138	atqueeadem-cras-deteret-exiguis		0-466,712-1384,1074-2099,1417-2784
1,39,1103,133	aliquid-,-proponimus-illuc-ire-,		0-730,1002-1959,1144-2255
0,41,1154,147	fatigatasubi-Daedalus-exuit		0-533,934-1823,1200-2356
0,40,1061,113	alas-,-dum-nova-canities-,-dum		0-338,545-1053,898-1762,1100-2164
0,38,1130,124	primaet-recta-senectus-,-dum		0-319,600-1169,968-1904,1165-2298
0,40,1179,134	superestLachesi-quod-torqueat		0-571,824-1618,1228-2411
1,39,1250,133	etpedibus-me-porto-meis-nullo		0-384,578-1111,847-1645,1056-2079,1289-2544
0,39,1004,113	dextramsubeunte-bacillo-.		0-699,1044-2051
1,39,1146,124	cedamuspatria-.-vivant-Artorius		0-592,858-1666,1183-2332
1,40,1144,133	isticet-Catulus-,-maneant-qui		0-280,638-1230,1024-2005,1183-2330
0,37,1231,138	nigrumin-candida-vertunt-,-quis		0-354,766-1491,1071-2111,1283-2516
0,39,1061,127	facileest-aedem-conducere-,		0-371,687-1333,1108-2171
0,41,1032,133	flumina-,-portus-,-siccandam		0-584,1072-2106
0,39,1098,133	eluviem-,-portandum-ad-busta		0-686,876-1702,1136-2237
0,41,985,130	cadaver-,-et-praebere-caput		0-353,763-1493,1030-2018
1,38,928,114	dominavenale-sub-hasta-.		0-488,701-1354,963-1895
0,40,959,134	quondamhi-cornicines-et		0-412,874-1716,994-1956
1,39,1124,134	municipalisharenae-perpetui		0-748,1177-2304
0,39,1124,124	comitesnotaeque-per-oppida		0-658,864-1693,1163-2296
1,39,1144,110	buccaemunera-nunc-edunt-et-,		0-523,776-1517,1058-2066,1185-2332
0,39,1102,146	versopollice-vulgus-cum-iubet-,		0-422,712-1384,901-1757,1149-2255
1,39,1274,133	occiduntpopulariter-;-inde-reversi		0-808,1059-2080,1324-2614
1,47,1137,127	conducuntforicas-,-et-cur-non		0-684,853-1672,1006-1980,1174-2315
0,40,1292,134	omnia-?-cum-sint-quales-ex-humili		0-374,626-1216,909-1784,1051-2058,1345-2641
1,48,1011,147	magnaad-fastigia-rerum		0-357,783-1532,1063-2077
0,39,1206,133	extollitquotiens-voluit-Fortuna		0-676,944-1855,1246-2461
0,47,909,128	iocari-.-Quid-Romae-faciam-?		0-357,637-1225,962-1875
1,39,1216,113	mentirinescio-;-librum-,-si-malus		0-543,875-1713,988-1936,1263-2483
1,39,1172,133	est-,-nequeo-laudare-et-poscere-;		0-382,771-1496,896-1757,1220-2395
1,54,1174,147	motusastrorum-ignoro-;-funus		0-615,950-1850,1224-2400
1,39,1170,133	promitterepatris-nec-volo-nec		0-707,912-1781,1056-2082,1209-2385
0,40,886,112	possum-;-ranarum-viscera		0-617,925-1814
0,48,1052,133	numquaminspexi-;-ferre-ad		0-657,952-1860,1093-2148
0,58,796,112	nuptamquae-mittit		0-472,846-1646
0,39,1108,133	adulter-,-quaemandat-,-norunt		0-793,1154-2264
1,42,1225,128	alii-;-me-nemo-ministro-fur-erit-,		0-245,508-973,891-1750,1064-2093,1271-2499
1,38,1096,133	atqueideo-nulli-comes-exeo		0-391,668-1301,927-1817,1134-2233
0,39,1216,111	tamquammancus-et-extinctae		0-650,822-1611,1267-2486
0,39,1195,133	corpusnon-utile-dextrae-.-quis		0-385,660-1286,1038-2027,1234-2433
1,39,1215,146	nuncdiligitur-nisi-conscius-et		0-540,762-1491,1129-2212,1263-2481,1306-2569
